prov,station,trend_annual
ON,Cornwall,0.28858
ON,Crystal Falls,-0.0382
ON,Delhi,0.03931
ON,Dryden,0.18815
ON,Ear Falls,0.22789
ON,Earlton,0.14358
ON,Egbert CS,0.024
ON,Elora RCS,0.27367
ON,Fergus Shand Dam,0.26134
ON,Foldens,0.29662
ON,Fort Frances,0.18986
ON,Geraldton,0.30223
ON,Glen Allan,0.31792
ON,Goderich,0.14335
ON,Gore Bay,0.10352
ON,Grimsby,0.08069
ON,Guelph,0.01408
ON,Haliburton,0.15966
ON,Hamilton,0.17388
ON,Harrow,0.09371
ON,Hornepayne,0.01776
ON,Ignace,0.00463
ON,Iroquois Falls,0.04415
ON,Kakabeka Falls,0.12763
ON,Kapuskasing,0.19933
ON,Kemptville,0.04603
ON,Kenora,0.14924
ON,Kingston,0.10963
ON,Kirkland,0.22153
ON,Kitchener,0.04111
ON,Lansdowne House,0.23742
ON,Leamington,0.17536
ON,London,0.16681000000000001
ON,Lucknow,0.02253
ON,Madawaska,0.16881
ON,Millgrove,0.23192
ON,Minden,0.36816
ON,Mine Centre,0.17879
ON,Montreal River,0.10285
ON,Moosonee,0.01872
ON,Morrisburg,0.15853
ON,Mount Forest,0.13951
ON,Muskoka,0.11972
ON,New Glasgow,0.23914
ON,Niagara Falls,-0.01203
ON,North Bay,0.18008
ON,Orangeville,0.25738
ON,Orillia,0.11979
ON,Orono,0.17106
ON,Ottawa,0.14692
ON,Owen Sound,0.09466
ON,Parry Sound,0.21351
ON,Pelee Island,0.15834
ON,Pembroke Climate,0.07178
ON,Petawawa,0.177
ON,Peterborough,0.08498
ON,Pickle Lake,0.16643
ON,Port Dover,0.0952
ON,Port Stanley,0.05275
ON,Pukaskwa,0.219
ON,Rawson Lake,0.42725
ON,Red Lake,0.47468
ON,Ridgetown,0.00994
ON,Sarnia,0.26233
ON,Sault Ste Marie,0.1627
ON,Schreiber,-0.04661
ON,Simcoe,0.06154
ON,Sioux Lookout,0.24552
ON,Smoky Falls,0.20275
ON,Southampton,0.14592
ON,St Catharines,0.17933
ON,St Thomas,0.10793
ON,Stratford,0.02992
ON,Sudbury,0.2213
ON,Thunder Bay,0.15117
ON,Timmins,0.17944
ON,Tobermory,0.13413
ON,Toronto,0.20821
ON,Toronto Buttonville,0.55385
ON,Toronto Ellesmere,0.02676
ON,Toronto Intl A,0.24739
ON,Toronto Island City,0.21747
ON,Trenton,0.21528
ON,Turbine,0.11567
ON,Uxbridge,0.11997
ON,Vineland,0.10223
ON,Walkerton,-0.03818
ON,Wallaceburg,0.04156
ON,Wawa,0.21427
ON,Welland,0.15097
ON,White River,0.01578
ON,Wiarton,0.19687
ON,Wilder Lake,0.20023
ON,Windsor,0.18124
ON,Woodbridge,0.13773
ON,Woodstock,0.11417
QC,Albanel,0.03214
QC,Amos Lacberry,0.0892
QC,Amqui,0.30785
QC,Angers,0.4323
QC,Anticosti Sw Point,0.15796
QC,Armagh,0.10484
QC,Arundel,0.40367
QC,Bagotville,0.13006
QC,Baie Comeau,0.16283
QC,Barrage Gouin,0.06466
QC,Beauceville,0.20607
QC,Beausejour,0.41972
QC,Belleterre,-0.1018
QC,Berthierville,0.20958
QC,Bic,0.15171
QC,Bonnard,0.33386
QC,Brome,0.27014
QC,Bromptonville,0.17994
QC,Cap Chat,0.15061
QC,Cap Madeleine,0.10481
QC,Causapscal,0.1293
QC,Chapais,0.32671
QC,Charteris,0.4574
QC,Chelsea,0.1508
QC,Chibougamau,0.16246
QC,Coaticook,0.34028
QC,Disraeli,0.0918
QC,Donnacona,0.12836
QC,Drummondville,0.26306
QC,Farnham,0.12552
QC,Fleury,0.38129
QC,Foret Montmorency RC,0.27168
QC,Fortierville,0.33952
QC,Gaspe,0.10001
QC,Grandes Bergeronnes,0.02301
QC,Granby,0.18357
QC,Havre St Pierre,0.21596
QC,Hemmingford Four,0.28808
QC,Huberdeau,-0.02533
QC,Iles Madeleine,0.19285
QC,Inukjuak,0.01877
QC,Joliette,0.22238
QC,Kuujjuaq,0.12482
QC,Kuujjuarapik,0.14836
QC,La Grande Iv,0.51053
QC,La Grande Riviere,0.16007
QC,La Macaza,0.31911
QC,La Malbaie,0.10999
QC,La Pocatiere,0.15451
QC,La Sarre,0.36275
QC,La Tuque,0.01272
QC,Labrieville,-0.06798
QC,Lac Bouchette,0.17704
QC,Lac Humqui,0.33027
QC,Lac Ste Croix,0.28313
QC,Lachute,0.42056
QC,Lambton,0.15972
QC,Lauzon,0.28273
QC,Lennoxville,0.1387
QC,Les Cedres,0.15657
QC,Lourdes De Blanc Sa,0.42754
QC,Luskville,0.43351
QC,Lytton,0.02297
QC,Macdonald Coll,0.08447
QC,Magog,0.21468
QC,Maniwaki,0.10563
QC,Matagami,0.37616
QC,Milan,0.18054
QC,Mont Joli,0.17203
QC,Mont Laurier,0.10952
QC,Montreal Tavish,0.23081
QC,Montreal Trudeau In,0.23795
QC,Natashquan,0.18246
QC,New Carlisle,0.22421
QC,Nicolet,0.07136
QC,Nominingue,0.24592
QC,Normandin,0.15752
QC,Not Dame Du Laus,8.6e-4
QC,Oka,0.23558
QC,Ormstown,0.26825
QC,Parent,0.14779
QC,Pointe Au Chene,0.13244
QC,Port Daniel,-0.03961
QC,Portage Des Roches,-0.11049
QC,Price,0.05896
QC,Quaqtaq,0.00443
QC,Quebec,0.18366
QC,Richmond,0.42247
QC,Rimouski,0.17529
QC,Riviere Des Prairie,0.31013
QC,Riviere Verte Ou,0.27308
QC,Roberval,0.15339
QC,Saint Michel,0.41963
QC,Sawyerville Nord,0.35346
QC,Schefferville,0.15318
QC,Scott,0.22511
QC,Sept Iles,0.16592
QC,Shawinigan,0.1724
QC,Sherbrooke,0.1105
QC,Shipshaw,0.25069
QC,Sorel,0.28807
QC,St Alban,0.18963
QC,St Ambroise,0.21749
QC,St Anicet,0.38763
QC,St Camille,0.21861
QC,St Charles De Mande,0.42898
QC,St Come,0.10488
QC,St Come De Liniere,0.27382
QC,St Ephrem,0.15413
QC,St Fereol,0.2563
QC,St Flavien,0.33533
QC,St Guillaume,0.39383
QC,St Hippolyte,0.25249
QC,St Hubert Mont,0.22627
QC,St Hyacinthe,0.15711
QC,St Jerome,0.18692
QC,St Ludger,0.36284
QC,St Malo d'Auckl,-0.03708
QC,St Michel Des Sain,0.26935
QC,St Narcisse,0.43849
QC,St Pamphile,-0.03156
QC,St Prime,0.34957
QC,St Sebastien,0.29011
QC,St Tite,0.03147
QC,Ste Anne Dela Perade,0.21336
QC,Ste Anne Du Lac,0.34906
QC,Ste Beatrix,0.14481
QC,Ste Germaine,0.23525
QC,Ste Madeleine,0.60993
QC,Sterose Degelis,0.063
QC,Temiscamingue,0.03686
QC,Tete Baleine,0.0571
QC,Thetford Mines,0.3084
QC,Trois Pistoles,0.03312
QC,Trois Rivieres,0.20317
QC,Val d'Or,0.15886
QC,Valleyfield,0.15929
QC,Ville Marie,0.01077
QC,Wright,0.32932
NB,Alma (Fundy Park),0.08591
NB,Aroostook,0.11131
NB,Bathurst,0.21297
NB,Buctouche,0.0616
NB,Charlo,0.28139
NB,Doaktown,0.10939
NB,Edmundston,0.19281
NB,Fredericton,0.1493
NB,Gagetown,0.22073
NB,Grand Falls,0.11994
NB,Harvey Station,0.05768
NB,Kedgwick,0.10077
NB,McAdam,0.2038
NB,Mirachimi,0.161
NB,Miscou Island,0.23607
NB,Moncton,0.13685
NB,Nepisiguit Falls,0.133
NB,Rexton,0.14069
NB,Sackville,0.00535
NB,Saint John,0.12985
NB,St George,0.13317
NB,St Leonard,0.578
NB,Sussex,0.16371
NB,Woodstock,0.06392
NS,Annapolis Royal,0.15149
NS,Baddeck,0.22488
NS,Cheticamp,0.39952
NS,Collegeville,0.27137
NS,Deming,-0.00834
NS,Digby,0.16915
NS,Greenwood,0.20768
NS,Halifax,0.1749
NS,Ingonish Beach,0.05308
NS,Kejimkujik Park,0.19528
NS,Kentville,0.12647
NS,Liverpool,0.07378
NS,Meteghan River,0.16512
NS,Mount Uniacke,0.05158
NS,Nappan,0.13412
NS,Parrsboro,0.18803
NS,Sable Island,0.11147
NS,Salmon Hole,0.17149
NS,Shearwater A,0.15659
NS,Springfield,0.18298
NS,St Margaret's Bay,0.14323
NS,Stillwater,0.29167
NS,Sydney,0.1254
NS,Truro,0.13701
NS,Upper Stewiacke,0.09293
NS,Yarmouth,0.09488
PE,Alliston,0.19432
PE,Charlottetown,0.11577
PE,St Peters,0.32196
PE,Summerside,0.06429
NL,Bay d'Espoir,0.21228
NL,Bonavista,0.15075
NL,Buchans,0.22337
NL,Burgeo,0.27296
NL,Cartwright,0.11315
NL,Churchill Falls,0.397
NL,Colinet,0.01232
NL,Cormack,0.46453
NL,Corner Brook,0.15788
NL,Daniels Harbour,0.21562
NL,Deer Lake,0.12795
NL,Exploits Dam,0.14849
NL,Gander,0.10156
NL,Goose,0.11166
NL,Grand Falls,-0.04837
NL,Hopedale,0.12874
NL,Mary's Harbour,0.20276
NL,Nain,0.2908
NL,Plum Point,0.41939
NL,Port Auxbasques,0.12341
NL,Rocky Harbour,0.23739
NL,St Anthony,0.02021
NL,St John S,0.15333
NL,St John West,0.16554
NL,St Lawrence,0.33404
NL,Stephenville,0.11517
NL,Terra Nova Nat Park,0.18125
NL,Wabush Lake,0.31942
NL,Wreckhouse,0.23115
